iter	Passed	Remaining
852	2258	389
853	2260	386
854	2262	383
855	2265	381
856	2267	378
857	2269	375
858	2271	372
859	2273	370
860	2275	367
861	2280	365
862	2282	362
863	2284	359
864	2286	356
865	2288	354
866	2290	351
867	2293	348
868	2295	346
869	2298	343
870	2301	340
871	2304	338
872	2306	335
873	2309	332
874	2311	330
875	2313	327
876	2315	324
877	2317	322
878	2319	319
879	2322	316
880	2324	313
881	2326	311
882	2328	308
883	2330	305
884	2332	303
885	2334	300
886	2336	297
887	2339	295
888	2341	292
889	2343	289
890	2345	286
891	2347	284
892	2349	281
893	2351	278
894	2353	276
895	2356	273
896	2358	270
897	2360	268
898	2362	265
899	2364	262
900	2366	260
901	2369	257
902	2371	254
903	2373	252
904	2375	249
905	2377	246
906	2379	243
907	2381	241
908	2383	238
909	2385	235
910	2388	233
911	2390	230
912	2392	227
913	2394	225
914	2396	222
915	2398	219
916	2401	217
917	2403	214
918	2405	212
919	2408	209
920	2410	206
921	2412	204
922	2414	201
923	2417	198
924	2419	196
925	2422	193
926	2424	190
927	2427	188
928	2432	185
929	2435	183
930	2437	180
931	2439	178
932	2442	175
933	2444	172
934	2447	170
935	2450	167
936	2452	164
937	2454	162
938	2457	159
939	2459	157
940	2472	155
941	2474	152
942	2477	149
943	2480	147
944	2482	144
945	2485	141
946	2488	139
947	2491	136
948	2494	134
949	2497	131
950	2501	128
951	2503	126
952	2505	123
953	2507	120
954	2511	118
955	2513	115
956	2516	113
957	2519	110
958	2521	107
959	2524	105
960	2527	102
961	2529	99
962	2531	97
963	2533	94
964	2536	91
965	2538	89
966	2541	86
967	2543	84
968	2545	81
969	2548	78
970	2550	76
971	2553	73
972	2556	70
973	2559	68
974	2561	65
975	2563	63
976	2565	60
977	2568	57
978	2571	55
979	2574	52
980	2576	49
981	2579	47
982	2581	44
983	2583	42
984	2586	39
985	2588	36
986	2590	34
987	2592	31
988	2594	28
989	2597	26
990	2600	23
991	2602	20
992	2605	18
993	2607	15
994	2609	13
995	2611	10
996	2613	7
997	2616	5
998	2618	2
999	2621	0
